,Title,Genre,Favorite count,Maximum Visits,Total Visitors,likes count,dislikes count,Description,Date Created,Date Updated
300,  weight lifting simulator,Fighting,20135,25,8178242,18782,1257,"🔥 Use the code 'freecode' and LIKE the game for a free boost!
👍 NEW CODE releases once the game gets 20,000 LIKES!

💪 Unleash your strength and become the strongest lifter of all time! Train your body, lift weights, unlock new Worlds, fight other players, collect epic pets and brawl every few minutes to become the champion!

🎁 Join our group to unlock exclusive rewards in-game!
https://www.roblox.com/groups/10692800/Group-Items

👊⚡LATEST UPDATE:
- NEW Aura System! Power up as you're lifting weights!
- Pet XP and leveling up now available in the game!
- NEW Rebirth system and Rewards
- STOMP IS BACK!
- DESERT GYM: 75 REBIRTHS & 100 STRENGTH!
- NEW SPEED CITY with HUGE SPEED GAIN! (X2)

💖 Support the game by giving us a LIKE and a FAVORITE! 
📶 Make sure to hit the FOLLOW button to get notified about new updates!",5/9/2021,5/25/2021
301,new pack! muscle legends,Fighting,1128646,20,487487853,317003,49166,"💪 Unleash your strength and become the strongest ROBLOXian of all time! Train your body, unlock new Gyms, fight other Players, collect epic Pets, gain new Moves, compete in Arenas and much more in Muscle Legends!

⚡🔥LATEST UPDATE:
- NEW 'Multiverse Muscle Pack' containing the strongest pets on Roblox! Find it in the new Packs menu!
- NEW 'Muscle King' arena! Enter the Portal on Legend Beach to become the Muscle King, or defeat the current King! Only the Muscle King can workout in the arena! The Muscle King gains auto Gems & Strength!
- NEW 'Galaxy Oracle Crystal' with 3 new Pets and 3 new Auras! Find it in the Muscle King's gym!
- 4 NEW codes have been hidden on different maps! Can you find them all? 👀

✨ Premium Benefits: x2 Strength from Training, +2 Daily Fortune Spins, x2 Chest Rewards, +1 Pet Slot

🎁 Join Scriptbloxian Studios to unlock the group chest & +1 Daily Spins! https://www.roblox.com/groups/4705120/Scriptbloxian-Studios",8/9/2019,5/22/2021
302, skywars  ,Fighting,2255779,8,665404009,458029,136828,"Welcome to SKYWARS! Build your base, destroy others and conquer the SKY!

[MASSIVE UPDATE]
☃️ NEW Winter Theme! (includes Xmas Pack & Armor!)
❄️ NEW PHYSICS! (A lot less block glitches!)
+ MORE!
*VIP servers always have the latest update*

🎮 Join the group ""16bitplay Games"" for FREE access to the group room! 🎮",6/5/2017,4/8/2021
303,mortem metallum [alpha],Fighting,362261,30,109317255,103301,34056,"Hit and slash, Run and Chase, fight in a bloody way. Nos militibus!

Blood on/off option only enables the blood clouds when exploding limbs and the sounds that they make. (There is no blood because that was one reason that Blood Flow got deleted.)

Check out social links.

Group: https://www.roblox.com/groups/9642124/Mortem-Metallum-OFFICIAL#!/about

Exploiting = ban.

If you own any of the old gamepasses you wont need to buy them again because they work on this game aswell.

Controls:
E-Dash
Q-Kick (only does dmg to ragdolled opponents)
Ctrl-Shoulder camera (Shiftlock. For this to work you need to have the shiftlock setting on. You will see it when you press Esc ingame.)",10/20/2019,5/14/2021
304,ninja legends,Fighting,3205378,20,1206929861,916299,81526,"💨 Double-tap your jump button to Double Jump! (PC = Spacebar, Mobile = Jump Button, Xbox = 'A' Button)

HOW TO PLAY:
⚡ Train your skills by using weapons and gaining Ninjitsu!
🗡️ Use gained Ninjitsu to increase your health and damage!
💰 Sell your Ninjitsu for coins and upgrade your items in the shop!
🐱‍👤 Unlock more Double Jumps and discover Islands high above!
🐾 Buy epic Pets to help you gain stats faster!

🎁 Join Scriptbloxian Studios to unlock the group rewards chest in-game! https://www.roblox.com/groups/4705120/Scriptbloxian-Studios",9/22/2019,4/28/2021
305,  zombie uprising  ,Fighting,576506,7,92468404,126625,12928,"👍 Give the game a thumbs up and favorite if you like it! 👍

Fixed:
-Invisible walls
-Guns upgraded on respawn
-Guns at level 55 not getting level 55 gun mods

🔨April Update:🔨 
-New anti-hack code
-Many glitches, including god mode, fixed
-Fixed 'SpecOps Skin Pack' sometimes not having 38 weapon colors.
-Fixed machines, barricades etc. not being usable

🔨Next (May) Update:🔨 
-New maps, enemies, weapons
-MAYBE crates & new bosses
-43 upgraded gun models

🎮Survive against hordes of zombies! It's up to you to save mankind!
Available on computer, mobile, tablet and Xbox One! 🎮

🌟 ROBLOX Premium Members get +10% Cash and Points and +1,500 starting points! 🌟

⚔️ USSF members get free skins, +10% Cash and Points and +1,500 starting points! ⚔️
🏆Join today! https://www.roblox.com/groups/22025 🏆

🔨 Update Log and Future Updates: 🔨
https://devforum.roblox.com/t/u/564488

The sole developer of this game is BRIANO10.",5/2/2020,5/11/2021
306,super power tycoon,Fighting,127402,10,68564540,17091,4679,"hello! welcome to my super power tycoon. you can upgrade your tycoon , unlock powers and smash people!

Group: https://www.roblox.com/groups/6033955/Rainbow-Moon-Studios#!/about

Developer: TheAmazingCoderMan / @TheScripterMan

Avaiable Platforms: Mobile,Console,PC,Tablet",6/6/2020,12/13/2020
307,boxing league ,Fighting,437156,5,119101979,103163,25132,"Boxing League is unfortunately not a boxing game, you can kick or hug your opponent and that's pretty illegal, but you have a decent lawyer so it's not so much of a problem.

Exploiting lead to a permanent ban, so don't do it kids !!!
Farming wins (cheating from receiving mass free wins) is also not allowed.

@KenamiRBX - UI/Programming/Animation
@VifuzRBX - Lead Map

Contributors : @_Nymfei - @fabuss254Dev - @FiniPhobia",8/26/2019,4/9/2021
308,[2x] dragon ball rage,Fighting,1613936,15,614707389,353875,42680,"Fight your enemies, friends, and rivals in Dragon Ball Rage. Unlock epic skills. Will you be the strongest? 

Controls:
[Q]: Ki Blast (train ki)
[E]: Combat (train attack and agility)
[R]: Ki Self (train defense)
[B]: Long Transform
[N]: Short Transform
[V]: Aura Toggle
[X]: Hover your mouse over someone and press X to lock on
[SPACE]: Double tap space to fly
[SHIFT]: Hold Shift to run/speed fly

Current Max: 205 Million
Limit Breaker Max: 210 Million
Zenkai Boost Max: 40

Scripter: iDracius
Builders: CrutchBazooka, TheBeastSword, KingXerviux

We reserve the right to update and change gamepass benefits at anytime.",1/30/2012,4/21/2021
309,[update] teen titans battlegrounds,Fighting,659745,15,306782950,133666,49692,"Update: The evil titans are out! Next update is on 5/26, where the new mystery character will be revealed!",4/17/2019,5/25/2021
310,critical strike v5.7.5,Fighting,354966,8,58409717,115476,29464,"WARNING: This game has a lot of flashing visual effects, seizure warning.

Critical Strike is a class fighting game, that's all.",3/31/2013,9/27/2020
311,super hero tycoon,Fighting,40344,10,22726922,8575,2166,"👍 Hit The Like To Unlock Free Exclusive Gears! Make sure to Like The Game!
👍 ⭐ Support the game by giving us a LIKE and a FAVORITE!

Welcome To Super Hero Tycoon, Choose Your Character and Build Your Tycoon.

If you like the game, press the thumb up button!

Do not forget to like the game and add it to favorites, it means a lot if you do!

Join the The Tycoon Games to unlock exclusive cash and items in-game!
https://www.roblox.com/groups/6543268/The-Tycoon-Games",7/8/2020,3/29/2021
312,energy assault,FPS,335926,20,51298534,96807,17779,"17/04/2021
- Outfits and weapon skins shop! (Thanks to Blotnik for the clothing)
- New map: Sandstorm (By HrafnDrengr)

21/03/2021
- VR support (with a few new settings to accompany it)
- New map: Lost Cathedral (By ScreamingXXX and Rexoxoxoxoxox)
- See which platform your killer is playing on

12/03/2021
- New mode: Capture the Flag
- New attachment: Muzzle Brake

Battle it out with energy weapons on fun maps featuring different game modes, in this futuristic FPS. Complete daily missions, rank up, save up for cool new guns, and unlock skins and outfits.

This game supports VR.",1/1/2021,5/9/2021
313,counter blox,FPS,2319672,14,811170742,674798,130748,"Take part in a 5v5 team based fire fight across a variety of maps spanning across the globe.

Earn in-match money by eliminating enemies and playing objectives, which you can use to buy new weapons, gear and grenades at the start of each round.

Press B to open buy menu at spawn, press N to open menu.

Enjoy FPS games? We've made four other FPS games you can play!
Check them out: https://www.roblox.com/My/Groups.aspx?gid=2613928

If you see [LIVE] in the title, we're streaming on the Twitch Channel below!
",9/27/2015,5/25/2021
314,season 4  anime fighting simulator,Fighting,2288944,20,980828399,1045144,52838,"Anime Fighting Simulator is a training game inspired by multiple popular Anime shows.

Player Multiplier Limit: 2.25q

👊Latest Update [UPDATE 18]:
- 💸SALE!
- 🌟SEASON 4!
- ⚔️NEW TOURNAMENT MODE!
- 💥3 NEW QUIRKS!
- 🔴1 NEW BLOODLINE!
- 🍋1 NEW FRUIT!
- 👿NEW BOSS!
- 🐰EASTER EVENT!
- 🌌NEW AURA CHEST!
- 🥚EASTER DECORATION!
- 🔥2 NEW POWERS!
- 🛡️5 NEW CHAMPIONS!
- 💪3 NEW TRAINING AREAS!
- ⚔️8 NEW SWORD SKINS!
- 🗡️1 NEW SWORD!
- ⚖️POWER BALANCING!

⭐Join BlockZone for a 5% increased training boost:
https://www.roblox.com/groups/5202664/BlockZone#!/about

🎁Follow us on Twitter for codes and updates on the game:
Director: @NyxunRBX
Head Developers: @RobxSoft, @_Chichine
Scripters: @_DevCrow, @eXo0ne_, @lyzrinn, @Dact_ylioglyph
Builder: @BIack_Smith
Modeler: @Mirror_RBX",10/4/2019,5/22/2021
315, void  lucky blocks battlegrounds,Fighting,2428029,8,887145157,476997,170111,"🚨 NEW UPDATE! 🚨
- ❔ Void Blocks Added! 
- ⚔️ New Gear! 
- 🔊 New Music! 
- ⚙️ Bug Fixes!

🎮 Team up and battle your friends, collect gear from Lucky Blocks, storm the Battleground, and become victorious! 

👇 Follow for Codes, Updates, and More! 👇 
Twitter @silkygames - twitter.com/silkygames",2/19/2017,5/21/2021
316,[ bleach ] anime battle arena,Fighting,501178,12,217477361,200066,32636,"Check the second page of the roster to see JoJo characters.
 
Controls:
Shift: Sprint
Q: Dodge
F: Block
Basic Attack: Mouse1
Space+Mouse1: Aerial Attack
Combine Basic Attacks and Aerial Attacks to discover new combos.
Use 1,2,3,4 for your character special moves.
Transformation: G

Developers:  Melon_Sensei, Chicken_Man, Snakeworl
Contributors: BIGPAPAMAUI, Sprano, K1LLUA, Nilvaat, jjjakey, Kogrin, rikaid, Estheking",2/25/2018,5/21/2021
317,build to survive simulator,Fighting,98237,6,27295787,39184,9361,"35K LIKE REWARD WILL DROP THIS WEEKEND!

👍 PLEASE LIKE OUR GAME 👍 Community Reward - RARE UNICORN PET @ 50K LIKES! 👍

⭐FAVORITE⭐ OUR GAME AND JOIN OUR GROUP https://www.roblox.com/groups/9273402/Fun FOR A FREE EXCLUSIVE PET!

Build to survive the killers and disasters! Could you build a cool enough base that protects you from both the mobs and the disasters? 

",1/24/2021,5/25/2021
318,project lazarus:   zombies   [crossbow!],Fighting,1072649,6,86012576,352057,15299,"Note: Project Lazarus is still in ALPHA.

Survive the endless waves of zombie hordes in this cooperative shooter. In Project Lazarus: Zombies, you earn points by killing zombies and repairing barricades. Get better weapons and open up new areas before the deadly zombies overrun you.

Project Lazarus: Zombies is a spiritual successor to my old zombies game. Inspired by Call of Duty Zombies.

Controls:
Interact - [F]
Aim Down Sights - [Q] / [Right Mouse Button]
Reload - [R]
Knife - [V]
Change Weapons - [1] , [2] , [3], [Scroll Wheel]
Sprint (Hold) - [Left Shift]

I'm still working on it, so expect bugs and more bugs to come. 
Remember to smash that like button! 👍
Favorite and Follow the game to receive notifications when I update the game! 👌

Recent Updates:
- New Crossbow, new launcher, new map!
- For the full update list, check out the Social Links below!",6/28/2016,4/28/2021
319,polybattle,Fighting,470693,28,66872438,165724,24609,"
👍PLEASE LIKE US 👍 NEW CRATE @ 175K LIKES! 👍
⭐PLEASE FAVORITE ⭐ NEW CRATE @ 500K FAVORITES! ⭐

POLYBATTLE is a First-Person Shooter made with low-poly style. 
💥 2 TEAMS compete to control checkpoints (team with most tickets wins)
💥 18 VEHICLES
💥 7 CLASSES (Sniper, Special Forces, Assault and more) 
💥 Battle ready MAPS 

UPDATE - MAY 7TH 2021
💥 Mobile autoshoot now available!
💥 April Community Skin Crate now available - weapon skins from players like you!
💥 A HUGE set of bug fixes and security improvements, including fixes for silent aim hacks! 
💥 NEW STARTER PACK BUNDLE available in shop. Includes VIP, Custom Crosshair, and 3 crates all for 999 R$! DO NOT PURCHASE IF YOU ALREADY OWN A GAME PASS!",2/22/2020,5/25/2021
320,marvel and dc experiences,Fighting,106123,60,54512165,19590,10873,"Slowly double jump to fly

Group: https://www.roblox.com/groups/8898465/5t435f",12/25/2020,5/25/2021
321,master's difficulty chart obby,All Genres,85774,30,21455294,29326,25472,"🌟 Have you got what it takes to master Master's Difficulty Chart Obby? 🌟

🏁 Once you've got as far as you can, you can optionally rebirth to collect points to spend in the shop... and then do it all over again! 😀

⚪ Currently featuring 220 stages of a variety of obstacles and difficulties from Effortless to Extreme!

📈 Your progress saves so you can always return to the last stage you completed!

💀 Press R to reset!

🔵 Created & Scripted by MasterDaniel.
Additional stages built by bluirre, milanomaster, obama_ismymum68 and POTato12623

[We didn't think we needed tags, but turns out you do:]
difficulty chart obby parkour effortless very easy medium hard difficult challenging intense insane extreme wraparound wallhop DCO TOH stages rage obby obstacles difficult remorseless parkour obby Difficulty Chart Obby ",2/22/2021,5/24/2021
322,[sound tracks] obby,Adventure,43525,100,9954542,2675,7214,"The Obby has had a minor update today.
Update Log:
- Added back Sound Tracks!

Please Stay Tuned for the Next Update 🔔

Our Group --
https://web.roblox.com/groups/7496852/Crimson-Squads#!/about
",5/10/2020,5/7/2021
323,(update) escape prison obby! (read desc),Adventure,258920,12,181515718,49804,42874,"Welcome to the brand new Escape Prison Obby. We were just caught and sentenced to 100 years in Robloxia's worst prison EVER for trying to rob the bank. That's not fair, we need to escape. Our friend Max will help us along the way. But keep in mind, This prison escape will be like no other. Can you escape Prison?

Please leave a like and favorite if you enjoyed the game, and join the group Mega Obbies if you want to see more games like this. Thanks! :D

Tags: (Ignore) Obby Cartoony Fun Adventure Escape Motel Manager Sewer Get Eaten Evil Obby
",4/14/2019,5/20/2021
324,easy obby!,Adventure,113256,15,94904175,14789,4971,"Welcome to the Easy Obby! Run, jump, slide, and teleport through this awesome obby! Be sure to like 👍 and favorite ⭐ if you enjoyed the game!

*NOTE* It may take multiple resets for gamepasses to show up in your inventory.

BE SURE TO JOIN THIS GROUP: https://www.roblox.com/groups/8516430/zknx#!/about

Stage Count: 50

Please message me any feedback you have so I can work on improving the game!

Tags: Parkour, Obby, Fun, Easy, Parkour Obby, Obstacle Course, Rainbow, Colorful",11/18/2020,4/14/2021
325,rainbow fun obby!,Adventure,3287,37,4404589,2113,503,"Hello and welcome to Rainbow Fun Obby! You must find a way to escape Rainbow Fun Obby! You find a obstacle course that can help you escape! You must CLIMB to the top of Rainbow Fun Obby, Parkour!

Rainbow Fun Obby!
--
Don't forget to Like and Favorite",4/14/2021,5/24/2021
326,two player obby 2,Adventure,111816,12,25255382,11752,7210,"Welcome to Two Player Obby 2!

.If you liked the game, would you help me by giving it like and favorites! 😋

25/5/21
.Checkpoints Fixed!

17/04/21
New update!!! 😁
🗺 New map! 🍪
🥇 New badge! 🎖

28/03/21
New update!!! 😉
- New 7 funny new levels!",3/8/2021,5/25/2021
327,super cool parkour obby!,All Genres,7660,10,7023662,6972,1536,"Welcome to Super Cool Parkour Obby!

Escape Super Cool Parkour to the winners area!

Leave a like if you enjoyed!",2/11/2021,5/25/2021
328,baldi basics parkour obby,Adventure,69398,20,62587662,28816,7703,"Hello and welcome to Baldis Basics Parkour Obby! You must find a way to escape Baldi! You find a obstacle course that can help you escape! You must CLIMB to the top of Baldi, Parkour!

Baldis Basics Parkour!
--
Don't forget to Like and Favorite",11/7/2020,5/24/2021
329,mega easy obby   700 stages!,Adventure,1155677,12,760897458,203107,56242,"🌟 Welcome to the Mega Easy Obby! Earn gems every time you beat a stage and prestige, and you can buy fun cosmetic items such as pets that follow you around! Prestiging in this parkour obby only resets your stage, nothing else. This obby is the best parkour course around!

Mega Easy Obby has Easy Mode, which will make you invincible to all lava!

📝 [5/16]
- 25 new stages!
- 5 new badges!
- TRAILS COMING SOON

* PROGRESS AUTO SAVES *
⚠️ - SHUTDOWN = BUG FIXES / UPDATE
🚨 BIG UPDATES VERY OFTEN - Make sure to check back often!
👍 - Likes and favorites show us great support and we are so thankful!

Tags: Obby, Parkour, Obstacle Course, Parkour, Parkour Obby, Rainbow, Parkour",8/3/2019,5/22/2021
330,cool parkour obby 550 stages!,Adventure,117131,10,78743926,29587,6363,"🌟 New Version Of Cool Parkour Obby! 💥

🌟 New Stages at 30000 likes

🌟You have finished the Obby without problems? Click Up to FOLLOW the game, You will receive a notification when i'll add new stages!

🌟 Can you conquer the 550 obstacles? 

🌟The progress you have made is automatically saved, so you can always continue where you left off 

Cool Parkour Obby 550 Stages!",6/12/2015,5/25/2021
331,escape super fat guy obby [story update!],Adventure,35162,21,22937705,19829,5413,"👍PLEASE LIKE US 👍 EPIC PET CODE @ 25,000 LIKES 👍

⭐ PLEASE GIVE A ⭐ TO MAKE THE DEVS SMILE AND GLOW IT MEANS A LOT ⭐

He's a very angry and scary fat man - but you can escape if you RUNNNNNNNNNNN!

Escape the Super Fat Guy! You have started in his room and you must try to escape this guy before you are eaten too!

DAILY Chest rewards for players who come back, you can get free pets and EPIC gears.",1/22/2021,5/24/2021
332,(update) escape mcdonalds obby!,Adventure,25327,10,20830440,8508,9814,"UPDATE; Newest features and perks, new playpark stages, new space stages.

Welcome to the newest version of Escape McDonalds Obby, there are 66 levels to beat. The McDonalds manager has gone crazy and you need to escape before it is too late. There are many stages to tackle include a fun McDonalds playpark, a Happy Meal and a McDonalds planet! This game will be getting lots of updates so keep playing to see more!

Tags: (Ignore) Obby Cartoony Fun Adventure Escape Motel Manager Sewer Get Eaten Evil Obby",6/16/2020,5/16/2021
333,[ice parts!] obby creator,All Genres,377945,16,89230981,74568,23985,"Welcome to Obby Creator, where you can build whatever you'd like and share it with the rest of the platform. Create your obby using in-game building tools or load and play anyone else's using their unique ObbyId!

When using Team Create, don't agree to let anyone join you unless you trust them or they may delete your whole obby. 

Credits: https://devforum.roblox.com/t/obby-creator-credits/318701
Full Update Logs: https://devforum.roblox.com/t/-/372543
Basic tutorial video: https://youtu.be/VjqNOspTssw

Previous Updates:
🧊 Added new Slipperiness property - make slippy ice parts!
⛰️ 2 new Skyboxes for Advanced Tools users.
🐛 Lots of bug fixes!
+ Other small changes!

If the game shuts down it's because I've either updated the game or fixed an important bug! :D Game updates every two weeks.",3/2/2019,5/25/2021
334,escape the carnival of terror obby!,Adventure,121949,10,63911397,17645,14827,"Looks like we have been locked in a Abandoned Carnival by an EVIL CLOWN! We must find a way to ESCAPE!

Travel though the Carnival and avoid the Traps and Obstacles that get in your way. Hop onto the Rides and RollerCoaster to get to next area. Escape a CRAZY Funhouse and watch out for the EVIL CLOWN! (WARNING MILD JUMPSCARES)

Over 25 challenging Obstacles to beat, CAN YOU ESCAPE THE CARNIVAL OF TERROR?

Please Leave a Like and Favourite if you enjoy my games. That would really help out a lot :) ",12/28/2020,5/12/2021
335,escape the dungeon obby! (read desc),Adventure,526385,10,405162468,78543,48250,"So you have been captured by the king for stealing his gold. You have been sentenced to 100 blox years in the dungeon....THIS IS NOT FAIR. Lets find a way to escape. Can you make it past the 20 fun obstacles and make it to freedom? 

if you enjoy my games please fave and leave a like :)",7/1/2018,4/23/2021
336,escape funny parkour obby!,Adventure,11262,10,11218901,11588,2785,"Welcome! Can you Escape Funny Parkour Obby?

Only 1% have escaped!

Leave a like if you enjoyed!",4/26/2021,5/25/2021
337,dinosaur zoo tycoon,All Genres,130390,4,20571075,20692,2679,"🦕Dinosaur Zoo Tycoon🦕

Build your very own Dinosaur Zoo and give a home to the most marvelous creatures to ever walk the earth! 🦖⭐

Purchase a variety of different dinosaurs! 🦖 

Buy exciting and fun park rides! 🎡

Feed and take care of your very own dinosaurs!

Build your zoo to impress your visitors and grow your Zoo to be the best in all of the land!

Builder: TipToesTim
Scripter: Sir_Falstaff

🐞Report Bugs on the Group Wall🐞
https://www.roblox.com/groups/4063400/Vanity-Studio",2/18/2021,5/23/2021
338,restaurant tycoon 2 [new worker!],Building,1787159,8,405041116,439103,46588,"Latest Update (05 / 21)
-Added delivery drivers

Create your own restaurant and serve dishes from all over the world. Keep your customers happy by cooking delicious meals and providing the best service. Start your restaurant journey today!

Subscribe For Codes:
https://www.youtube.com/ultraw

Credits:
https://twitter.com/UltrawRbx
https://twitter.com/ZynkuruRBLX

More Information:
https://devforum.roblox.com/t/t/356970
",7/1/2019,5/21/2021
339,  street races!   car dealership tycoon,All Genres,926341,12,387178257,226618,34853,"❓ In Car Dealership Tycoon you build and customize your own car dealership with cool cars and colors! Drive and role play around the map with your friends! Earn money by driving, racing cars and having cars equipped on platforms in your dealership! ❓

👍 Leave a thumbs up! New code at 250K likes! 200K likes code: ""ThumbsUp""! 👍

⭐ Gain 25% more money from dealership and driving with Roblox Premium! ⭐

🎉 NEW UPDATE RELEASED! 🎉
🏁 3 new races!
🚗 3 new cars!
🚘 3 cars revamped!
🔧 Fixes & improvements!

🎬 Check out the update trailer on YouTube! 🎬

🚗 Join Foxzie's Productions for a FREE car! 🚗
https://www.roblox.com/groups/3955051/Foxzies-Productions",3/27/2018,5/25/2021
340,[spells] wizard tycoon - 2 player,Building,1575698,8,440852958,326253,44143,"NEW 2 player wizard tycoon! Work together to become the most powerful wizards! Unlocking staffs, potions and brooms along the way. Defeat foes or make friends, it's up to you.

You can stand still and your forcefield will not disappear. 

Updates: 
- Fixed starter wand damaging teammate
- Fixed snow staff
- Added new potions!
- Fixed shrink and grow potions
- Fixed prompt not displaying current walkspeed/health
- Fixed infinite money glitches - if you find any let me know!
- New: Fixed ice staff not working on mobile

Please let me know any bugs!",8/8/2015,12/23/2020
341,ufo tycoon  ,Sci-Fi,310140,5,82841108,83481,7640,"🛰️ Build your own space station, discovering new upgrades, new UFOs, and earning awesome loot!
🚀 Fly around in your own UFO to explore space, find new planets, and interact with other players in UFO Tycoon.

💾 Tycoon Saves Automatically 💾

🔔 Updates coming very soon! Favorite & turn on notifications to be the first to know! 🔔

🌌 Creators: Wegny and Br_cks
🌑 Contributors: vGenede
Using sounds by ZapSplat",12/24/2020,5/11/2021
342,speed tycoon,All Genres,8866,20,9381804,1725,1384,"⚡Get faster by tapping your screen. 
⚡Purchase pets and rebirth to increase the amount of speed you get for each tap. 
⚡When you have enough, unlock obbies that lead to new areas!

May you have fun with your friends!",9/11/2020,5/17/2021
343,my dragon tycoon ,All Genres,284620,5,52203900,60053,3867,"🛠Shut Down = Update🛠

📢UPDATE NEWS📢
__________________
🎊This Update : 
- Dragon Kingdom
- Accessories Shop
-World Boss
- Adjust price balance

🔒Next Update : 
- New Island!
- New Dragon!

- ➕ Make various suggestions in Community!
__________________
📢 Codes 📢
💰 Event Code :  [Welcome] 💰
😈 Update Code :  [Dragon Village] 😈
😈 Update2 Code :  [MDT Update2] 😈
🎉 1M Visits Code : [My Dragon Tycoon] 🎉
🎉 10M Visits Code : [Thanks 10M Visits] 🎉

__________________

⚒ Build your own dragon house.
⚔ Get new weapons and be strong.
🐥 Fly around in dragon world, find new island.

💾 Tycoon Auto Save 💾

🔔 Favorite & Turn on notifications !
👍 Thumbs Up!
__________________
Version : [0.9.1]
Creators : XtraCilantro, XtraAvocado, XtraSalami
Manager : V_Pro4
Group : Dosmas Studios",1/25/2021,5/24/2021
344,  lumber tycoon 2,Adventure,3741188,6,788780115,1556736,220187,"Welcome to Lumberland!

Deforest your surroundings and build your dreams! Check the changelog to keep up with the most recent updates. You can find it in the game menu.

Join the community-run fan group! https://www.roblox.com/Groups/Group.aspx?gid=2658221

Thanks for playing!",7/30/2009,5/7/2021
345,super hero tycoon,Fighting,40345,10,22727109,8575,2166,"👍 Hit The Like To Unlock Free Exclusive Gears! Make sure to Like The Game!
👍 ⭐ Support the game by giving us a LIKE and a FAVORITE!

Welcome To Super Hero Tycoon, Choose Your Character and Build Your Tycoon.

If you like the game, press the thumb up button!

Do not forget to like the game and add it to favorites, it means a lot if you do!

Join the The Tycoon Games to unlock exclusive cash and items in-game!
https://www.roblox.com/groups/6543268/The-Tycoon-Games",7/8/2020,3/29/2021
346,super power tycoon,Fighting,127402,10,68564667,17091,4679,"hello! welcome to my super power tycoon. you can upgrade your tycoon , unlock powers and smash people!

Group: https://www.roblox.com/groups/6033955/Rainbow-Moon-Studios#!/about

Developer: TheAmazingCoderMan / @TheScripterMan

Avaiable Platforms: Mobile,Console,PC,Tablet",6/6/2020,12/13/2020
347,airport tycoon!,All Genres,972018,4,232274859,295355,33647,"Build and upgrade your own airport, make money, fly cool airplanes, and explore islands!

🚨 Last Update: Revamp.. everything is brand new!
- Much bigger and revamped Airport
- All-new Boardwalk and Ferris Wheel
- Revamped Tokyo, Pirate Island, and Air Force Base!

Update log: https://devforum.roblox.com/t/757116

❓NEXT UPDATE: Follow the game to get notified!

👍 Please Like the game to show your support! We really appreciate it.

💾 Autosave: your tycoon will automatically save!

💨 Join our group for $20,000 in-game cash! (More perks soon!)
https://www.roblox.com/groups/4920885/Fat-Whale-Games#!/

",7/9/2019,5/25/2021
348,dream island  tycoon,Town and City,71546,4,9447113,51466,2441,"👍 LIKE OUR GAME 👍 and Use NEW code: HAPPY for in-game rewards! 🎁NEW EXCLUSIVE CODE AT 57,000 LIKES👍 
 
Build your Airport and expand your island! Fly in Epic airplanes and drive around with Nice cars! ✈️🚗🌴 (Airport, Resort, Port, Restaurant, Aircraft Maintenance, Travel Agency)

💾 Tycoon is saved automatically!

Please 👍Thumb Up and ⭐Favorite if you want updates like:
🛥️ Buy boats!
🏝️ Buy NEW islands!
❓ And much more!

💸Get 2,500 in-game currency if you join our group: 
https://www.roblox.com/groups/9828157/Venzel-Studios

Use code Rebirth",3/13/2021,5/24/2021
349,clone tycoon 2,Sci-Fi,2992479,5,497396840,795203,77267,"In Clone Tycoon 2, you can clone yourself and create an army! Upgrade your futuristic base, grow your clones, and build a research lab to become king of the cloning universe. Unlock stronger weapons, planes, rockets and many more exciting items.

Latest Update: 
-Invisible Cape Fix
-Clone Spawning Fix
-Rainbow Magic Carpet Fix

Credits / Music: https://devforum.roblox.com/t/t/459787",5/12/2016,5/19/2021
350,tropical resort tycoon  ,Building,894362,8,210584883,264597,14341,"UPDATE OUT NOW:
🚗 2 new vehicles (both buyable with currency!)
🛠 Bug fixes and improvements
❓ Next update teaser!

The next update will be larger, more info soon! 😱

Build your Tropical Resort and complete your island! Drive epic vehicles, roleplay with friends, explore, and so much more! 🌴🌊🚘

💾 Tycoons autosave 💾 

🔔 Hit the FOLLOW button to get notified about updates! 🔔

Brought to you by the team at Ready, set, play!

filiptibell - Scripting & UI
pollopollop - Game Design & Modeling
michaelvanderfin - World Design & Modeling

🎮 Join our group for 10,000 in-game currency! 🎮
https://www.roblox.com/groups/7371243",8/10/2020,5/21/2021
351,noob army tycoon,Military,372045,4,50855452,151763,11004,Attack the other noobs in this epic tycoon.,4/4/2021,5/24/2021
352,anime tycoon,Fighting,67427,10,31682398,10544,4271,"👍 Hit The Like To Unlock Free Exclusive Gears! Make sure to Like The Game!
👍 ⭐ Support the game by giving us a LIKE and a FAVORITE!

Welcome To Anime Tycoon, Choose Your Character and Build Your Tycoon.

If you like the game, press the thumb up button!

Do not forget to like the game and add it to favorites, it means a lot if you do!

Join the The Tycoon Games to unlock exclusive cash and items in-game!
https://www.roblox.com/groups/6543268/The-Tycoon-Games",11/16/2020,3/29/2021
